episode/Q-Error,epoch,epoch_reward_history,hp_metric,step
,0,-96.21710968017578,-134.5509033203125,6
,1,-113.65574645996094,-130.3718719482422,13
,2,-293.0056457519531,-157.4774932861328,20
,3,-327.718017578125,-181.79757690429688,27
,4,-107.86491394042969,-172.5559844970703,34
,5,-108.91161346435547,-165.48439025878906,41
,6,-66.51730346679688,-155.58767700195312,48
1.1908533484939872,7,,,49
,7,-253.56222534179688,-164.4944610595703,55
,8,-138.09353637695312,-162.2943878173828,62
,9,-131.57398986816406,-159.9312744140625,69
,10,-89.13493347167969,-154.8743896484375,76
,11,-268.64990234375,-162.4594268798828,83
,12,-206.67315673828125,-165.22279357910156,90
,13,-392.6056823730469,-178.59825134277344,97
0.9588508999403941,14,,,99
,14,-357.1672668457031,-188.5187530517578,104
,15,-85.22388458251953,-183.08218383789062,111
,16,-173.5619354248047,-182.60617065429688,118
,17,-184.2014923095703,-182.68212890625,125
,18,-338.3277587890625,-189.75694274902344,132
